#,Subsystem,Files,Tests
1,**Capability Security**,"`capd/`, `lib/caps.c`",Token issue/verify/revoke
2,**Intent Classification**,"`intentd/`, `lib/ml.c`",Pattern matching
3,**IPC Transport**,"`lib/ipc.c`, `lib/platform.c`",Cross-platform sockets/pipes
4,**File System**,"`lib/fs.c`, `include/fs.h`",VFS with 13 test cases
5,**ELF Loader**,"`lib/elf.c`, `include/elf.h`",64-bit ELF parsing
6,**Device Drivers**,"`lib/device.c`, `include/device.h`","Console, null, zero, random"
7,**Network Stack**,"`lib/net.c`, `user/netd/`",TCP simulation with caps
8,**Process Manager**,`user/procman/`,Fork/exec/kill with cap inheritance
9,**Authentication**,`user/authd/`,Login/logout/passwd with SHA3 hashing
10,**System Calls**,`kernel/syscall.c`,18 syscall dispatch table
11,**Scheduler**,`kernel/scheduler.c`,Round-robin process scheduling
12,**Filter VM**,`kernel/filter.c`,5-step capability validation
13,**Audit Logging**,`user/logd/`,Structured ring buffer logging
14,**Configuration**,`lib/config.c`,INI-style key-value parser
15,**Migration**,"`lib/migrate.c`, `user/migrated/`",Backup/restore with cap preservation
16,**Package Manager**,`tools/ikpm.c`,Install/remove/list/verify
17,**WASM Sandbox**,`user/wasm_runtime/`,Gas-limited interpreter
18,**Benchmark Suite**,`tests/benchmark.c`,10 microbenchmarks
19,**Fuzzing Harness**,`tests/fuzz.c`,"8 strategies, 16K operations"
20,**Security Dashboard**,`ikmos/interfaces/dashboard.py`,Real-time TUI
21,**Cross-Platform**,`lib/platform.c`,Linux/macOS/Windows/Android
