Component,Files,Purpose
`include/migrate.h`,Migration types + 29-function API,"Backup, restore, validate, scan"
`lib/migrate.c`,Full implementation,"System scan, manifest I/O, bloatware detection, capability preservation"
`include/manifest.h`,App manifest types + 12-function API,Declarative capability manifests
`lib/manifest.c`,Full implementation,"Parse, serialize, validate, DB management"
`user/migrated/`,Migration daemon,"IPC channel 11, handles backup/restore/validate"
`tools/intentkernel-migrate.c`,CLI tool,"7 subcommands: backup, restore, validate, list-apps, list-caps, status, policy"
`ikmos/subsystems/migrate_system.py`,Python migration subsystem,"Backup/restore, policy, privacy checks"
`ikmos/interfaces/cli_migrate.py`,Shell mixin,"`migrate backup`, `migrate list-apps`, `migrate policy`, `migrate privacy`"
`tests/test_migrate.c`,Migration test harness,8 adversarial migration tests
`docs/MIGRATION.md`,Architecture documentation,Full migration system documentation
